date,type,hebrew_date,feast
2014-04-15T00:00:00Z,Total Lunar Eclipse,15 Nisan 5774,Passover
2014-10-08T00:00:00Z,Total Lunar Eclipse,15 Tishrei 5775,Sukkot
2015-04-04T00:00:00Z,Total Lunar Eclipse,15 Nisan 5775,Passover
2015-09-28T00:00:00Z,Total Lunar Eclipse,15 Tishrei 5776,Sukkot
2023-10-14T00:00:00Z,Annular Solar Eclipse,29 Tishrei 5784,
2027-08-02T00:00:00Z,Total Solar Eclipse,28 Tamuz 5787,
2028-12-31T00:00:00Z,Total Lunar Eclipse,13 Tevet 5789,
2029-06-26T00:00:00Z,Total Lunar Eclipse,13 Tamuz 5789,
2029-12-20T00:00:00Z,Total Lunar Eclipse,14 Tevet 5790,
2030-11-25T00:00:00Z,Total Solar Eclipse,29 Cheshvan 5791,
