date,type,half_saros_date
2014-04-15T00:00:00Z,Total Lunar Eclipse,2023-04-20T04:00:00Z
2014-10-08T00:00:00Z,Total Lunar Eclipse,2023-10-13T04:00:00Z
2015-04-04T00:00:00Z,Total Lunar Eclipse,2024-04-08T04:00:00Z
2015-09-28T00:00:00Z,Total Lunar Eclipse,2024-10-02T04:00:00Z
2023-10-14T00:00:00Z,Annular Solar Eclipse,2032-10-18T04:00:00Z
2027-08-02T00:00:00Z,Total Solar Eclipse,2036-08-06T04:00:00Z
2028-12-31T00:00:00Z,Total Lunar Eclipse,2038-01-05T04:00:00Z
2029-06-26T00:00:00Z,Total Lunar Eclipse,2038-07-01T04:00:00Z
2029-12-20T00:00:00Z,Total Lunar Eclipse,2038-12-25T04:00:00Z
2030-11-25T00:00:00Z,Total Solar Eclipse,2039-11-30T04:00:00Z
